puesto,ciudad,fecha
Programador iphone en Barcelona,Barcelona,31-08-10
Ilustrador de Moda Barcelona,Barcelona,30-08-10
Maquetador HTML Senior,Barcelona,30-08-10
Programador PHP Senior,Barcelona,30-08-10
ejecutivo de cuentas online Barcelona,Barcelona,25-08-10
Desarrollo aplicaciones moviles,Barcelona,22-08-10
Programador senior PHP XHTML CSS,Barcelona,22-08-10
modelo,Barcelona,21-08-10
Web Design Intern,Barcelona,06-09-10
Senior PHP Programmer,Barcelona,03-09-10
Programador PHP MySQL ( MAGENTO ),Barcelona,02-09-10
Asistente de Fotografia y retoque digital en practicas,Barcelona,02-09-10
Prácticas Diseño Gráfico,Barcelona,02-09-10
Arte online junior,Barcelona,02-09-10
Freelance desarrollador .NET,Barcelona,02-09-10
Maquetador web,Barcelona,02-09-10
Dissenyador web,Barcelona,02-09-10
PROGRAMADOR flash AS3... PRESENCIAL .,Barcelona,01-09-10
Se busca programador web junior recién titulado,Barcelona,13-09-10
Programador Front AS3,Barcelona,13-09-10
Programador Senior PL-SQL,Barcelona,13-09-10
Creativo junior,Barcelona,10-09-10
ANALISTAS PROGRAMADORES EN JAVA-J2EE EXTJS,Barcelona,09-09-10
Director de proyecto en desarrollo de juegos sociales flash,Barcelona,09-09-10
Programador Ruby on Rails en Barcelona,Barcelona,08-09-10
Programador en Microsoft.Net para proyecto temporal,Barcelona,07-09-10
PROGRAMADOR WEB,Barcelona,07-09-10
PROGRAMADOR WEB HTML,Barcelona,16-09-10
Desarrollador PHP-MySQL (Freelance),Barcelona,16-09-10
Director-a de Arte Digital,Barcelona,15-09-10
Director-a de Arte,Barcelona,15-09-10
Diseñador gráfico On-Off line Junior,Barcelona,15-09-10
Diseñador Flash,Barcelona,14-09-10
Ejecutivo-a de cuentas (on-off line),Barcelona,14-09-10
Diseñador Gráfico,Barcelona,14-09-10
Programador marketing online,Barcelona,14-09-10
Programador experto PHP freelance,Barcelona,23-09-10
Programador PHP,Barcelona,22-09-10
Programador flash senior Barcelona,Barcelona,22-09-10
Programador multimedia (AS PHP MySQL XHTML CSS Java...,Barcelona,21-09-10
Programador para realizar tienda virtual,Barcelona,21-09-10
Diseñador Flash,Barcelona,21-09-10
Programming Analyst Ruby on Rails (Barcelona Spain),Barcelona,29-09-10
Buscamos persona para tienda virtual [Barcelona],Barcelona,28-09-10
Desarrollador PHP 5 orientado a objetos,Barcelona,28-09-10
CODERS,Barcelona,28-09-10
Artista 2D emprendedor,Barcelona,05-10-10
Web Developer Asp.Net,Barcelona,05-10-10
Hyatt SEO Analyst,Barcelona,05-10-10
Diseñador-maquetador web,Barcelona,05-10-10
content editor,Barcelona,04-10-10
Programador web en Barcelona,Barcelona,04-10-10
Diseñador freelance (colaboraciones puntuales),Barcelona,04-10-10
Producer,Barcelona,30-09-10
Programador-a web,Barcelona,30-09-10
Programador HTML CSS Java Script Action Script,Barcelona,30-09-10
Programador desarrollador web,Barcelona,11-10-10
Modelos para catalogo ropa no hace falta experiencia,Barcelona,08-10-10
Weclic: PHP Desarrollador Symphony Cake,Barcelona,08-10-10
Evento After Work : Weclic Puertas Abiertas,Barcelona,07-10-10
Diseñador editorial Maquetador (Indesign),Barcelona,07-10-10
Becario Designer-Web Programer,Barcelona,06-10-10
Practicas: Generacion de Contenidos Online,Barcelona,06-10-10
PR : Organizador-a de Eventos,Barcelona,06-10-10
Practicas Online Marketing: Virtuales,Barcelona,06-10-10
Programador: PHP Symphony Cake,Barcelona,06-10-10
Practicas: Community Manager,Barcelona,06-10-10
PROA IT Services,Barcelona,05-10-10
Comercial Sector Imagen,Barcelona,19-10-10
Programador Java (JSF)-Barcelona,Barcelona,18-10-10
Programador-a web,Barcelona,14-10-10
Desarrollador PHP Cake o Symfony,Barcelona,14-10-10
Truque ^_^,Barcelona,13-10-10
Director de Arte On-Line Multimedia,Barcelona,13-10-10
Becario en start-up,Barcelona,25-10-10
Desarrollador web,Barcelona,25-10-10
Becario-a Motion Graphics,Barcelona,25-10-10
Diseñador-Programador web XHTML-PHP-CSS,Barcelona,22-10-10
Director de arte online junior,Barcelona,22-10-10
Programador flash senior para desarrollo de juegos sociales,Barcelona,21-10-10
Desarrollador de iPhone iPad y MAC OSX,Barcelona,21-10-10
Web Designer,Barcelona,21-10-10
Becario Creative Copy,Barcelona,28-10-10
Escaparatista Visual Merchandiser,Barcelona,28-10-10
Programador Web Incorporación inmediata,Barcelona,27-10-10
Account manager,Barcelona,27-10-10
Socio para proyecto vinilos ecommerce,Barcelona,27-10-10
Sustitución 6 meses departamento interactivo,Barcelona,27-10-10
Programador Flash ActionScript (Barcelona),Barcelona,26-10-10
PROGRAMADOR MULTIMEDIA ESPECIALIZADO EN BLOGS,Barcelona,26-10-10
Diseñador Gráfico Web Barcelona,Barcelona,04-11-10
Programador Web Junior con buena base en programación,Barcelona,03-11-10
Comercial Marketing Online,Barcelona,03-11-10
